SrNo,CensusCode,Load,VillageName
206,548313,1073,Wadner Tanda
207,548301,1360,Waghul Kheda
208,548276,1925,Wakad
209,548247,574,Waki  Kadim
210,548248,222,Waki Jadid
211,548322,1939,Wasadi
212,802763,1142,Kannad (M CI)
213,548489,856,Amkheda
214,548513,338,Anad
215,548455,127,Anjola
216,548477,1118,Bahulkheda
217,548457,1391,Banoti
218,548458,0,Banoti Tanda (N.V.)
219,548498,108,Chondeshwar
220,548520,611,Dabha
221,548466,598,Dastapur
222,548522,589,Davhari
223,548493,742,Dhanwat
224,548480,283,Dhingapur
225,548497,2337,Fardapur
226,548440,439,Galwada (B)
227,548488,905,Galwada (soegaon)
228,548515,425,Ghanegaon
229,548514,193,Ghanegaon Tanda
230,548453,573,Ghorkund
231,548472,969,Ghosala
232,548446,1319,Gondegaon
233,548451,858,Hanumantkheda
234,548503,18,Hingana
235,548517,223,Hiwari
236,548504,537,Jamthi
237,548494,904,Jangla Tanda
238,548469,849,Jangli Kotha
239,548481,2966,Jarandi
240,548506,323,Jawala
241,548465,25,Kaldari
242,548484,945,Kankrala
243,548476,570,Kawali
244,548460,1936,Kinhi
245,548496,42,Lenapur
246,548518,5,Mahalbda
247,548483,234,Malegaon
248,548501,260,Malkheda
249,548442,189,Mhashikotha
250,548463,350,Mohalai
251,548519,541,Molkheda
252,548452,908,Mukhed
253,548510,161,Murti
254,548511,317,Nanda
255,548512,323,Nanda Tanda
256,548471,841,Nandgaon
257,548524,0,Nandgaon Tanda (N.V.)
258,548468,1173,Nayagaon
259,548479,865,Nimbayati
260,548441,1568,Nimbhora
261,548473,490,Nimkhedi
262,548464,163,Nimkhedi (Banoti Circle)
263,548459,1794,Palashi
264,548492,1722,Palaskheda
265,548508,24,Palaskheda (sawala)
266,548521,466,Pimpalwadi
267,548505,236,Pimpla
268,548482,216,Pimpri
269,548462,0,Pimpri  Antur
270,548444,993,Pohari Bk
271,548445,253,Pohari Kh.
272,548502,0,Raksa
273,548478,1021,Rampura
274,548485,195,Raveri
275,548507,768,Rawala
276,548523,1102,Sawaladbara
277,548495,168,Sawarkheda
278,548449,671,Shindol
279,548490,2621,Soegaon
280,548487,665,Sonaswadi
281,548500,672,Thana
282,548470,1077,Tidka
283,548475,241,Tikhi
284,548509,310,Titawi
285,548447,612,Titur
286,548474,506,Umarvihire
287,548448,684,Uppalkheda (sutonda)
288,548450,154,Uppalkheda Antur
289,548461,567,Wadgaon (Tigji)
290,548467,1003,Wadi Sutonda
291,548516,153,Wakad
292,548454,708,Wakadi
293,548443,570,Wangaon
294,548499,813,Warkhedi Bk.
295,548491,453,Warkhedi Kh.
296,548456,1294,Warthan
297,548486,380,Wetalwadi
298,548527,149,Adharwadi
299,548580,2175,Ajantha
300,548559,2669,Ambhai
301,548584,501,Amsari
302,548537,2451,Amthana
303,548583,652,Anad
304,548646,637,Andhari
305,548582,5262,Andhari (Sillod)
306,548632,2592,Anvi
307,548634,2038,Asadi
308,548648,573,Babhulgaon Bk.
309,548575,749,Bahuli
310,548591,1057,Balapur
311,548651,1102,Bankinhola
312,548652,213,Bhaigaon
313,548610,2544,Bharadi
314,548650,2013,Bhawan
315,548593,537,Bodwad
316,548565,316,Bojgaon
317,548544,1489,Borgaon Bajar
318,548642,951,Borgaon Kasari
319,548548,1033,Borgaon Sarwani
320,548545,845,Borgaonwadi
321,548629,861,Chandapur
322,548532,2230,Charner
323,548531,768,Charnerwadi
324,548638,1158,Chinchkheda
325,548628,1243,Chinchpur
326,548536,912,Chinchwan
327,548635,1042,Dahigaon
328,548554,190,Dakala
329,548539,0,Deulgaon Bajar
330,548540,3163,Deulgaonwadi
331,548605,584,Dhamni
332,548616,1708,Dhanora
333,548526,1615,Dharla
334,548533,0,Dhawada
335,548619,53,Dhondkheda
336,548599,1015,Dhotra
337,548618,816,Didgaon
338,548590,953,Digras
339,548612,411,Doiphoda
340,548636,3552,Dongargaon
341,548645,726,Gavhali
342,548643,113,Gavhali Tanda
343,548647,1494,Georai Shemi
344,548552,805,Ghatambri
345,548525,4111,Ghatnandra
346,548541,0,Gokulpur
347,548596,1835,Golegaon Bk.
348,548597,1402,Golegaon Kh.
349,548553,814,Halda
350,548567,1320,Hatti
351,548601,916,Jalki Bajar
352,548577,325,Jalki Ghat
